objectid,filename,format,description,creator,recipient,date,material,subject,identifier,rights,language,category,type,conditions and effects ,tools and equipment ,processes and techniques ,brand name,dimensions,reproduction,title,fn,pandt
ArtRetro0001,ArtRetro0001.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",Private buyer,2000,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;suit;glasses;tie;paper mache,ArtRetro0001,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 9 x W. 5 x D. 2 1/2 in. ,unique,"Figure with Suit, Tie, and Glasses",ArtRetro0001.jpg, glueing, painting, sanding
ArtRetro0002,ArtRetro0002.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2000,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;bunny;rabbit;paper mache,ArtRetro0002,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 7 x W. 6 x D. 5 in. ,unique,Blue Bunny Head,ArtRetro0002.jpg
ArtRetro0003,ArtRetro0003.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",Private buyer,2000,"glue, paper towels, paper, flour, water, masking tape, fishing weights, pom pom",figure;scarf;puff hat;paper mache,ArtRetro0003,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 8 x W. 5 x D. 3 in. ,unique,Figure with Yellow Puff Ball Hat,ArtRetro0003.jpg
ArtRetro0004,ArtRetro0004.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2001,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;glasses;face;paper mache,ArtRetro0004,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,cracking,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 6 x W. 4 x D. 1 1/2 in. ,unique,Face with No Ears,ArtRetro0004.jpg
ArtRetro0005,ArtRetro0005.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2001,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;paper mache,ArtRetro0005,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 5 x W. 3 x D. 3 in. ,unique,Figure Looking Up,ArtRetro0005.jpg
ArtRetro0006,ArtRetro0006.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2005,"glue, paper towels, paper, flour, water, masking tape, fishing weights, cardboard, elastic, glitter",figure;birthday hat;mustache;paper mache,ArtRetro0006,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 9 x W. 5 x D. 4 in. ,unique,Figure with Birthday Hat,ArtRetro0006.jpg
ArtRetro0007,ArtRetro0007.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2006,"glue, paper towels, paper, flour, water, masking tape, fishing weights, ribbon",figure;goose;duck;bird;mustache;puff hair;paper mache,ArtRetro0007,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 10 x W. 5 x D. 5 in. ,unique,Head with Puff Hair and Goose,ArtRetro0007.jpg
ArtRetro0008,ArtRetro0008.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2007,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;face;paper mache,ArtRetro0008,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,cracking,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 13 x W. 8 x D. 2 in. ,unique,Face with Stripe Collar,ArtRetro0008.jpg
ArtRetro0009,ArtRetro0009.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2008,"glue, paper towels, paper, flour, water, masking tape, fishing weights, bottle cap",figure;face;hat;bottle cap;paper mache,ArtRetro0009,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 9 x W. 7 x D. 4 in. ,unique,Head with Letter B,ArtRetro0009.jpg
ArtRetro00010,ArtRetro00010.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2009,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;face;mustache;paper mache,ArtRetro00010,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 6 x W. 5 x D. 2 1/2 in. ,unique,Blue Face with Red Hair,ArtRetro00010.jpg
ArtRetro00011,ArtRetro00011.jpg,image/jpeg,Figure; made of paper mache over cardboard and paper towel framework,"Rothnie, Heather",,2010,"glue, paper towels, paper, flour, water, masking tape, fishing weights",figure;hair;paper mache,ArtRetro00011,"Reproductions are provided for research use only and may not be transferred, published, or exhibited without obtaining the legally required permission from the copyright owner. ",EN ,sculpture,Physical Object,good condition,"gesso, paint, sandpaper, ","glueing, painting, sanding","Liquitex BASICS Gesso Surface Prep Medium, Golden Acrylic Paint",H. 8 x W. 5 x D. 4 in. ,unique,Figure with Hairy Arms,ArtRetro00011.jpg
